k/n;2;3;4;5;6;7;8;9;10
1;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0
2;11,2;11,0;11,0;11,6;11,8;11,9;12,2;11,9;12,0
3;14,1;14,9;16,8;17,9;17,3;17,5;17,7;18,0;18,6
4;17,3;20,3;20,7;21,8;22,2;21,9;22,0;21,9;22,6
5;19,5;22,0;22,3;25,7;25,5;26,7;25,4;27,0;25,8
6;22,5;23,9;27,6;27,9;29,4;30,3;28,6;30,4;29,8
7;20,5;33,3;30,6;31,6;32,8;33,9;32,1;34,3;34,3
8;24,5;27,8;34,8;35,5;38,1;37,9;37,7;37,3;38,4
9;19,5;37,2;35,4;39,9;40,1;39,1;42,2;42,0;41,4
10;28,7;35,0;40,4;44,6;44,0;46,5;46,8;44,8;48,8
20;27,6;57,2;74,6;72,1;81,3;81,7;82,1;84,0;86,9
30;20,5;81,7;110,3;106,1;111,6;115,8;109,7;119,3;119,1
40;15,5;116,5;116,9;128,8;140,5;135,0;139,6;151,6;149,3
50;27,3;133,0;152,8;150,2;167,8;182,3;167,1;167,5;172,4
60;28,8;155,2;151,0;167,4;172,0;192,7;190,8;181,6;197,1
70;33,6;132,6;182,9;184,5;204,5;207,5;214,7;207,6;203,2
80;18,2;179,7;195,5;205,4;196,3;221,3;227,5;217,4;247,0
90;35,2;143,1;192,5;248,7;228,7;246,8;245,7;253,3;256,1
100;28,5;236,3;191,7;241,4;257,8;272,6;240,6;275,9;281,3
200;10,6;216,7;261,3;352,5;359,3;380,5;397,7;411,3;420,4
300;29,9;308,5;367,9;395,7;512,4;483,5;456,6;496,5;525,8
400;25,9;337,5;421,1;576,1;518,4;585,4;580,7;581,0;636,4
500;45,9;447,2;555,3;557,0;657,6;634,5;644,6;711,9;703,3
600;23,4;380,4;547,7;608,0;644,7;649,4;693,1;645,9;757,2
700;13,0;467,7;564,0;612,0;742,6;707,2;739,7;683,9;794,3
800;17,4;426,9;641,7;731,9;802,1;869,2;876,5;840,2;900,3
900;33,8;467,8;609,3;743,2;685,2;783,7;877,0;950,6;969,6
1000;13,1;508,3;720,2;873,3;867,0;872,7;913,4;956,8;1059,9
